Company Name,Location,Description,Batch
Reshape Biotech,"Copenhagen, Denmark",Robots that automate the everyday tasks of microbiologists.,W21
PipeBio,"Aarhus, Denmark",PipeBio is a SaaS bioinformatics platform to develop antibody drugs.,HEALTHCARE
Kilobaser,"Graz, Styria, Austria",Desktop DNA Printer. The Nespresso Machine for DNA.,INDUSTRIAL BIO
My NextDerma,"Zapopan, Jal., Mexico",Dermatology telehealth app for LatAm,W21
Triomics,"San Francisco, CA, USA",Intelligent automation in Oncology Research and Care,HEALTHCARE
Nuntius Therapeutics,"London, England, United Kingdom",Cell-specific genetic medicines,THERAPEUTICS
Forcyte Biotechnologies,"Los Angeles, CA, USA","Discover drugs that control how much cells ""squeeze"" to treat disease",W21
Recover,"San Diego, CA, USA",Government-funded online addiction treatment,HEALTHCARE
Rejoy Health,"Palo Alto, CA, USA",AI tools and LLM for Healthcare,MEDICAL DEVICES
Zealth,"Bengaluru, KA, India",Software for remote monitoring of cancer patients,W21
